item_id,registry_id,item_name,item_code,item_unit_price,item_quantity,item_amount
1,3057301873824000002,Электроснабжение,35.12.10.110,7.0,180000.0,1260000.0
2,3056206854324000001,Поставка тепловой энергии и теплоноситель,35.30.11.120,3742.06,248.3764,929438.28
3,3054100850424000014,Покупка-продажа электрической энергии уличное освещение,35.11.10.112,6.57,3805175.038,25000000.0
4,3056105675324000015,Тепловая энергия,35.30.11.111,3326.0,305.7155742,1016810.0
5,3056206841624000013,Яблоки,01.24.10.000-00000002,80.0,1650.0,132000.0
6,3056206841624000011,Чай черный (ферментированный),10.83.13.120-00000003,980.0,8.0,7840.0
7,3056206841624000011,аскорбинка,10.89.19.290,12.0,800.0,9600.0
8,3056206841624000011,"Джем, повидло",10.89.19.290,270.0,200.0,54000.0
9,3056206841624000018,Рис,10.61.10.000-00000003,105.0,1200.0,126000.0
10,3056206841624000018,Молоко сгущенное,10.51.51.000-00000001,305.0,200.0,61000.0
11,3056206841624000018,Соль пищевая,10.84.30.000-00000002,15.17,400.0,6068.0
12,3056206841624000018,Сахар белый тростниковый в твердом состоянии без вкусоароматических или красящих добавок,10.81.12.120-00000011,72.0,1400.0,100800.0
13,3056206841624000017,Крупа пшеничная,10.61.31.110-00000005,57.0,450.0,25650.0
14,3056206841624000017,Крупа овсяная,10.61.32.111-00000001,56.0,240.0,13440.0
15,3056206841624000017,Крупа гречневая,10.61.32.113-00000003,80.0,550.0,44000.0
16,3056206841624000017,Пшено,10.61.32.114-00000003,55.0,375.0,20625.0
17,3056206841624000017,Крупа ячневая,10.61.32.115-00000003,48.0,375.0,18000.0
18,3056206841624000017,Крупа перловая,10.61.32.116-00000005,56.0,125.0,7000.0
19,3056206841624000017,Крупа манная,10.61.31.111-00000004,56.0,125.0,7000.0
20,3056206298224000001,Энергоснабжение,35.11.10.112,7.33,119000.0,938000.0
21,3054201850524000010,Строительство набережной в г. Дербенте,42.91.20.110,889814040.0,1.0,889814040.0
22,3054100850424000027,Блок-контейнер металлический,25.11.10.000-00000004,104000.0,8.0,832000.0
23,3054100850424000025,Блок-контейнер металлический,25.11.10.000-00000004,104000.0,12.0,1248000.0
24,3054100850424000032,Блок-контейнер металлический,25.11.10.000-00000004,275000.0,6.0,1650000.0
25,3054100850424000029,Блок-контейнер металлический,25.11.10.000-00000004,275000.0,7.0,1925000.0
26,3054100850424000030,Блок-контейнер металлический,25.11.10.000-00000004,275000.0,6.0,1650000.0
27,3056104181324000001,Поставка электрической энергии,35.11.10.110,7.0,100000.0,700000.0
28,3050401091424000020,"Работы строительные по строительству гражданских сооружений, не включенные в другие группировки, кроме работ по сохранению и воссозданию объектов культурного наследия",42.99.29.100,10680290.0,1.0,10680290.0
29,3050401091424000003,"капитальный ремонт МКОУ Ахтынская СОШ №2 им. В.Эмирова в с.Ахты, РД",43.39.19.190,101738084.0,1.0,101738084.0
30,3051700476324000002,Оплата за потребление газа,06.20.10.132,8.79,55343.0,486534.18
31,3054202955324000006,Говядина охлажденная. -,10.11.11.110-00000004,468.92,999.0,468451.08
32,3054202955324000006,Говядина охлажденная,10.11.11.110,468.42,1.0,468.42
33,3054201376124000004,Говядина охлажденная,10.11.11.110-00000004,551.67,300.0,165501.0
34,3057102114024000019,"Бензин автомобильный (розничная реализация). 60,00",19.20.21.100-00000005,60.0,100.0,6000.0
35,3057102114024000019,"Бензин автомобильный (розничная реализация). 55,00",19.20.21.100-00000006,55.0,100.0,5500.0
36,3057102114024000019,"Топливо дизельное межсезонное экологического класса не ниже К5 (розничная поставка). 67,00",19.20.21.345-00002,67.0,98260.0,6583420.0
37,3056206672224000003,Услуги по транспортированию и распределению воды по водопроводам,36.00.20.130,1171050.0,1.0,1171050.0
38,3056105653824000016,зелень,01.13.19.000,264.02,48.0,12673.04
39,3056105653824000016,Бананы,01.22.12.000-00000002,176.01,660.0,116169.52
