contract_id,registry_id,customer_name,customer_inn,customer_kpp,budget_level,budget_name,extra_budget_source,purchase_method,notice_number,supplier_selection_result_date,basis_document_details,contract_date,contract_number,contract_subject,contract_price,budget_code,kosgu,kvr,ikz,supplier_name,supplier_inn,supplier_kpp,last_update_datetime,contract_execution_date
1,2051900058824000001,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕЛЬСОВЕТ КУТУЛЬСКИЙ"" КУРАХСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0519000588,051901001,Местный бюджет,"Бюджет муниципального образования ""сельсовет Кутульский"" Курахского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,2023-12-21,Муниципальный контракт на поставку газа 12-6-12/10-0134/24К,2024-01-01,12-6-12/10-0134/24К,Муниципальный контракт на поставку газа,36559.45,001-0104-8830020000-247,,247,242051900058805190100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-04-22 21:48:00,2024-12-31
2,3050000090824000001,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА, ОЗЕЛЕНЕНИЯ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗИЛЮРТ""",0500000908,050001001,,,Средства бюджетных учреждений,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,1,Содержание христианского кладбища г.Кизилюрта,50106.0,,,244,243050000090805000100100100019603244,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖКХ ПОС. СУЛАК""",0546022630,054601001,2024-04-04 15:04:00,2024-12-31
3,3050000090824000002,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА, ОЗЕЛЕНЕНИЯ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗИЛЮРТ""",0500000908,050001001,,,Средства бюджетных учреждений,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,2,Санитарное содержание контейнерных площадок г.Кизилюрт,330701.0,,,244,243050000090805000100100120018129244,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖКХ ПОС. СУЛАК""",0546022630,054601001,2024-04-04 15:03:00,2024-12-31
4,3050000090824000003,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА, ОЗЕЛЕНЕНИЯ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗИЛЮРТ""",0500000908,050001001,,,Средства бюджетных учреждений,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,3,"Санитарная уборка территории ГО ""город Кизилюрт""",2805750.0,,,244,243050000090805000100100110018129244,"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПИОНЕР""",0546010708,054601001,2024-04-04 15:03:00,2024-12-31
5,3050001100024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХИВСКИЙ РАЙОН""",0500011000,050001001,Местный бюджет,"Бюджет Муниципального Образования ""Хивский район"" Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,"Закупка оказания услуг по водоснабжению, водоотведению, теплоснабжению, обращению с твердыми коммунальными отходами, отходами I и II класса опасности, газоснабжению (за исключением услуг по реализации сжиженного газа), по подключению (присоединению) к сетям инженерно-технического обеспечения по хранению и ввозу (вывозу) наркотических средств и психотропных веществ",2024-01-01,12-6-36/01-0702/24K,"Поставщик обязуется поставлять с 01.01.2024 по З1.12.2024г. газ, а Покупатель получать (выбирать) и оплачивать Поставщику стоимость потребления газа",1334218.02,"001-0702-4210099000-247,001-0701-4220099000-247",,247 247,243050001100005000100100010013523247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2025-12-04 10:23:00,2024-12-31
6,3050001100024000002,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХИВСКИЙ РАЙОН""",0500011000,050001001,Местный бюджет,"Бюджет Муниципального Образования ""Хивский район"" Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,12-6-36/01-0702/24,"Поставщик обязуется поставлять с 01.01.2024 по З1.12.2024г. газ, а Покупатель получать (выбирать) и оплачивать Поставщику стоимость потребления газа",1925268.7,"001-0703-4230099000-247,001-0701-4220099000-247,001-0702-4210099000-247",,247 247 247,243050001100005000100100010053523247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2025-06-20 11:20:00,2024-12-31
7,3050001100025000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХИВСКИЙ РАЙОН""",0500011000,050001001,Местный бюджет,"Бюджет Муниципального Образования ""Хивский район"" Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,12-6-36/01-0702/24,2024-01-01,12-6-36/01-0702/24,Поставка природного газа,977552.4,"001-0702-4210099000-247,001-0701-4220099000-247",,247 247,243050001100005000100100010043523247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2025-10-15 11:53:00,2024-12-31
8,3050300579924000002,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕЛЬСОВЕТ ""ТЛИБИШИНСКИЙ"" АХВАХСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0503005799,050301001,Местный бюджет,"Бюджет Муниципального Образования ""сельсовет Тлибишинский"" Ахвахского района Республики Дагестан",,"Способ определения поставщика (подрядчика, исполнителя), установленный Правительством Российской Федерации в соответствии со ст. 111 Федерального закона № 44-ФЗ",,,Муниципальный контракт,2024-01-01,0000095-СЗО,за услуги связи интернет,38528.04,001-0104-9500010040-242,,242,243050300579905030100100030016110242,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""",7707049388,784201001,2024-06-20 11:46:00,2024-12-31
9,3050400920324000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КУЛЬТУРЫ, СПОРТА, МОЛОДЕЖНОЙ ПОЛИТИКИ И ТУРИЗМА"" АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО РАЙОНА ""АХТЫНСКИЙ РАЙОН""",0504009203,050401001,Местный бюджет,"Бюджет Муниципального образования ""Ахтынский район"" Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,1,аренда нежилого помещения,360000.0,001-0801-9В80021000-244,,244,243050400920305040100100010016820244,Ахмедова Алимагамедовна Динара,050402543217,,2025-06-09 16:02:00,2024-12-31
10,3050500270824000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТАМАЗАТЮБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ А.Д. БАЙТЕМИРОВА""",0505002708,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/18-0338/24К,поставка газа,546245.0,001-0702-9900070020-247,,247,243050500270805050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-26 17:03:00,2024-12-31
